embryos	juveniles	adults	juv&adults
112	182	79	261
107	186	79	265
94	190	75	265
88	188	77	265
91	182	82	264
102	186	82	268
108	185	82	267
106	189	82	271
109	185	85	270
112	180	87	267
111	169	94	263
103	165	96	261
111	163	96	259
112	162	97	259
117	157	98	255
116	150	105	255
115	144	111	255
112	138	117	255
118	131	121	252
118	124	124	248
120	119	129	248
118	116	130	246
114	111	135	246
115	110	137	247
111	112	136	248
119	111	136	247
130	103	140	243
139	103	141	244
143	104	142	246
145	104	143	247
199	107	142	249
213	116	138	254
210	122	137	259
204	126	137	263
198	133	135	268
198	136	134	270
215	137	132	269
208	141	130	271
201	141	130	271
192	141	126	267
192	140	125	265
242	137	128	265
303	135	127	262
307	135	126	261
303	133	126	259
302	132	125	257
298	130	125	255
301	130	126	256
300	130	126	256
294	127	125	252
292	126	126	252
292	123	127	250
310	117	129	246
313	112	131	243
309	114	130	244
312	117	133	250
323	129	136	265
305	142	138	280
308	152	138	290
318	162	138	300
365	169	139	308
375	181	137	318
390	189	135	324
407	185	137	322
322	191	125	316
198	196	109	305
188	211	111	322
164	224	108	332
186	232	109	341
226	236	112	348
241	240	114	354
241	246	114	360
247	255	114	369
274	253	118	371
370	256	119	375
469	255	122	377
479	250	127	377
493	247	127	374
498	242	131	373
490	237	134	371
481	227	137	364
486	218	142	360
481	218	141	359
477	216	141	357
459	216	139	355
455	228	135	363
420	254	132	386
396	291	131	422
372	343	129	472
381	391	132	523
353	447	132	579
372	472	133	605
414	492	135	627
455	497	136	633
483	498	137	635
497	491	139	630
505	484	140	624
505	468	148	616
502	459	146	605
525	442	152	594
573	420	166	586
586	412	167	579
636	398	174	572
670	387	183	570
665	377	186	563
535	364	180	544
572	362	183	545
660	353	191	544
709	347	198	545
689	369	200	569
634	398	200	598
634	444	199	643
662	501	196	697
729	541	200	741
779	570	207	777
847	608	215	823
890	605	228	833
880	592	240	832
846	571	256	827
852	556	273	829
966	572	293	865
957	591	312	903
1046	581	320	901
1179	592	331	923
1270	631	337	968
1279	717	338	1055
1341	772	337	1109
1366	802	328	1130
1513	813	325	1138
1605	809	318	1127
1594	790	311	1101
1566	778	306	1084
1560	758	307	1065
1466	753	305	1058
1406	758	303	1061
1356	770	305	1075
1361	780	315	1095
1371	779	330	1109
1384	826	331	1157
1196	865	318	1183
1094	916	316	1232
1027	953	320	1273
1006	1006	316	1322
1072	1056	318	1374
1110	1107	317	1424
1128	1142	310	1452
1019	1153	292	1445
966	1137	277	1414
1040	1098	275	1373
713	648	205	853
698	646	200	846
684	634	196	830
673	620	194	814
665	614	192	806
644	604	190	794
627	597	189	786
596	587	186	773
595	571	185	756
592	555	188	743
585	547	188	735
569	536	187	723
558	521	187	708
526	517	178	695
616	503	180	683
609	495	176	671
600	490	174	664
571	489	175	664
557	493	176	669
531	509	175	684
490	527	176	703
454	541	177	718
427	563	175	738
403	581	174	755
375	595	177	772
354	603	186	789
332	610	198	808
327	616	205	821
316	614	211	825
314	612	226	838
282	611	234	845
246	616	241	857
179	613	239	852
145	609	246	855
140	584	259	843
167	559	270	829
195	519	293	812
229	497	304	801
280	473	319	792
366	450	331	781
404	428	338	766
427	417	335	752
425	405	338	743
452	401	339	740
473	402	335	737
492	397	339	736
488	393	336	729
501	384	334	718
578	382	329	711
630	374	326	700
604	366	323	689
585	361	319	680
619	353	317	670
627	349	310	659
641	340	311	651
609	334	306	640
627	325	309	634
631	314	316	630
636	312	316	628
619	317	319	636
588	339	313	652
456	352	269	621
428	352	256	608
412	350	260	610
409	346	266	612
401	335	266	601
413	329	268	597
407	330	263	593
406	324	268	592
406	329	267	596
454	320	273	593
504	323	270	593
518	317	277	594
527	324	283	607
514	330	285	615
385	341	264	605
270	339	236	575
256	344	236	580
231	357	237	594
214	361	238	599
198	359	236	595
181	364	235	599
172	360	234	594
163	360	232	592
151	361	235	596
154	359	234	593
170	358	232	590
163	349	234	583
161	336	237	573
162	328	238	566
157	320	235	555
156	318	235	553
156	313	229	542
159	309	225	534
214	300	228	528
207	292	221	513
207	287	220	507
202	280	220	500
190	276	215	491
188	275	213	488
185	273	208	481
179	269	209	478
173	265	204	469
159	262	197	459
146	263	192	455
138	264	191	455
132	267	189	456
124	270	189	459
119	269	185	454
114	267	184	451
111	265	181	446
132	265	180	445
168	262	178	440
164	261	176	437
158	257	172	429
146	257	168	425
144	250	165	415
153	250	164	414
156	247	166	413
161	245	166	411
157	243	166	409
155	237	166	403
152	233	164	397
147	230	163	393
154	228	162	390
153	223	161	384
148	217	161	378
148	211	161	372
110	210	148	358
107	209	145	354
105	207	145	352
102	205	143	348
101	203	144	347
98	199	146	345
96	194	149	343
97	192	149	341
95	191	151	342
94	187	151	338
89	186	151	337
89	184	152	336
89	183	152	335
92	178	152	330
91	178	150	328
90	176	152	328
87	177	148	325
84	174	150	324
82	173	152	325
79	172	151	323
77	169	151	320
74	171	148	319
70	168	146	314
68	166	146	312
62	166	143	309
57	165	143	308
53	165	140	305
49	162	141	303
47	160	142	302
51	157	145	302
55	156	146	302
63	151	151	302
57	151	151	302
55	148	152	300
51	148	153	301
