embryos	juveniles	adults	juv&adults
146	185	92	277
129	190	89	279
123	195	89	284
119	192	90	282
121	197	89	286
116	199	90	289
105	205	90	295
100	204	90	294
93	201	93	294
92	197	95	292
105	191	98	289
103	184	106	290
98	182	110	292
104	178	112	290
106	171	117	288
108	169	118	287
110	161	124	285
110	154	130	284
108	152	130	282
109	148	132	280
109	146	133	279
107	141	138	279
108	138	139	277
101	134	139	273
98	136	139	275
106	138	139	277
129	135	142	277
136	134	142	276
147	137	142	279
141	135	144	279
156	135	142	277
209	133	142	275
237	134	143	277
237	135	141	276
236	129	144	273
242	130	142	272
241	131	144	275
249	130	141	271
247	130	142	272
239	134	141	275
232	136	135	271
230	134	135	269
255	135	136	271
314	133	136	269
308	137	133	270
303	134	134	268
298	129	137	266
292	132	136	268
292	130	137	267
287	131	137	268
277	131	134	265
276	127	134	261
276	124	136	260
317	124	137	261
329	124	140	264
334	125	142	267
363	132	144	276
370	132	151	283
365	142	153	295
357	155	156	311
363	169	157	326
384	189	158	347
393	199	161	360
424	210	160	370
427	217	156	373
355	220	138	358
227	224	120	344
231	226	123	349
223	227	125	352
234	229	126	355
277	242	130	372
294	248	135	383
276	259	133	392
295	272	132	404
351	275	134	409
446	283	133	416
510	286	134	420
538	285	135	420
553	287	134	421
568	283	136	419
579	280	136	416
582	271	140	411
580	265	142	407
555	261	139	400
553	254	140	394
545	253	138	391
535	264	138	402
493	283	139	422
433	333	139	472
381	392	140	532
415	441	143	584
415	480	143	623
486	509	143	652
531	522	143	665
543	524	146	670
592	533	144	677
628	535	142	677
631	526	143	669
648	515	145	660
631	506	144	650
653	487	150	637
717	471	157	628
738	457	163	620
747	444	174	618
746	436	182	618
745	421	188	609
577	410	174	584
582	390	184	574
648	376	193	569
702	370	194	564
688	378	197	575
648	415	197	612
603	451	195	646
619	502	199	701
604	567	200	767
680	604	200	804
772	617	204	821
830	618	220	838
793	597	233	830
755	571	253	824
760	576	274	850
851	572	293	865
846	597	296	893
1034	597	312	909
1184	608	311	919
1329	637	327	964
1403	695	329	1024
1419	743	326	1069
1508	763	322	1085
1526	758	319	1077
1627	761	308	1069
1635	754	308	1062
1583	734	303	1037
1543	722	302	1024
1540	712	304	1016
1524	703	318	1021
1483	708	329	1037
1447	717	333	1050
1423	730	341	1071
1417	777	341	1118
1241	861	338	1199
1120	945	327	1272
1164	990	335	1325
1129	1068	330	1398
1165	1145	327	1472
1173	1206	324	1530
1175	1209	316	1525
1101	1216	308	1524
1030	1186	303	1489
1057	1157	302	1459
765	708	225	933
728	701	218	919
697	702	216	918
687	684	215	899
663	676	212	888
651	669	212	881
620	654	208	862
587	648	205	853
574	642	202	844
554	636	200	836
537	617	203	820
525	606	199	805
530	593	195	788
533	579	188	767
606	578	184	762
600	566	180	746
595	559	177	736
576	559	174	733
559	559	173	732
527	564	173	737
478	591	180	771
444	608	181	789
395	636	177	813
343	660	173	833
331	665	173	838
324	667	185	852
300	674	186	860
288	660	202	862
286	641	219	860
265	633	231	864
250	620	252	872
218	595	264	859
167	586	272	858
149	569	286	855
138	556	296	852
183	532	304	836
220	505	319	824
279	479	322	801
347	452	335	787
458	421	347	768
549	403	356	759
578	388	364	752
566	382	364	746
585	385	364	749
579	387	364	751
591	388	365	753
579	391	363	754
595	390	359	749
646	383	355	738
711	381	355	736
734	361	355	716
718	355	351	706
751	343	347	690
779	337	344	681
798	329	344	673
798	314	347	661
778	311	349	660
772	309	354	663
768	315	353	668
774	343	356	699
746	377	362	739
577	384	310	694
493	384	282	666
486	386	282	668
476	376	284	660
453	378	284	662
457	374	286	660
442	363	287	650
422	359	284	643
425	352	283	635
491	354	282	636
494	355	279	634
528	351	285	636
527	352	284	636
515	364	285	649
385	386	266	652
249	402	238	640
225	402	239	641
206	400	244	644
185	406	247	653
172	411	249	660
146	405	253	658
135	406	248	654
127	399	250	649
123	394	252	646
116	398	250	648
132	389	251	640
150	379	251	630
148	373	252	625
142	365	254	619
136	358	250	608
134	354	245	599
128	345	240	585
150	341	237	578
165	338	235	573
160	324	232	556
153	319	226	545
152	313	225	538
148	306	221	527
147	303	221	524
143	299	217	516
141	295	213	508
139	292	213	505
136	288	208	496
128	289	202	491
119	284	202	486
115	281	201	482
109	279	200	479
104	279	199	478
104	272	201	473
108	269	203	472
132	269	201	470
157	269	203	472
151	272	201	473
146	269	198	467
143	266	196	462
141	266	195	461
150	265	193	458
164	260	195	455
167	256	195	451
165	252	193	445
161	247	191	438
162	242	195	437
161	239	194	433
160	238	192	430
155	235	190	425
156	230	191	421
155	227	190	417
105	224	174	398
104	214	178	392
103	211	178	389
101	206	178	384
101	199	182	381
101	195	183	378
100	192	179	371
97	192	176	368
94	188	179	367
90	186	180	366
89	185	181	366
91	182	182	364
94	182	179	361
96	180	180	360
98	178	179	357
98	174	180	354
97	172	179	351
96	168	182	350
95	160	182	342
95	158	181	339
92	159	180	339
88	155	179	334
83	153	181	334
82	150	181	331
80	149	182	331
76	148	181	329
56	151	171	322
52	153	168	321
51	150	169	319
57	144	167	311
68	143	167	310
73	139	166	305
69	135	166	301
66	134	162	296
65	131	163	294
63	128	166	294
62	122	171	293
60	121	172	293
56	123	169	292
53	123	169	292
53	119	169	288
51	118	169	287
53	113	171	284
63	113	172	285
68	114	170	284
69	107	172	279
69	102	174	276
69	101	174	275
70	99	175	274
72	97	172	269
72	95	170	265
71	93	170	263
70	93	169	262
70	90	167	257
68	88	163	251
73	87	163	250
73	85	162	247
76	84	164	248
76	80	163	243
79	78	162	240
82	78	161	239
81	77	159	236
82	76	159	235
86	74	159	233
84	70	154	224
82	69	154	223
80	68	152	220
82	70	151	221
87	69	151	220
92	70	149	219
97	71	149	220
103	70	148	218
107	69	149	218
107	68	150	218
107	67	151	218
107	65	152	217
106	63	152	215
107	64	150	214
106	62	150	212
110	62	147	209
109	62	146	208
112	62	146	208
111	60	146	206
110	60	145	205
110	60	144	204
109	57	144	201
108	58	143	201
111	56	142	198
118	58	141	199
119	59	140	199
116	60	138	198
117	59	137	196
122	60	136	196
126	59	135	194
125	60	134	194
125	59	133	192
124	59	132	191
123	60	131	191
122	57	130	187
124	60	128	188
127	59	129	188
131	60	128	188
135	61	129	190
145	62	126	188
145	61	128	189
153	63	127	190
149	60	128	188
152	61	129	190
156	64	128	192
154	64	129	193
160	69	129	198
163	76	129	205
163	79	126	205
165	82	124	206
165	83	124	207
158	82	121	203
160	82	121	203
157	83	119	202
161	86	119	205
160	84	119	203
160	83	118	201
157	85	118	203
155	87	116	203
153	87	115	202
149	86	115	201
149	87	114	201
151	86	114	200
166	85	114	199
169	85	113	198
169	84	114	198
164	85	112	197
166	84	112	196
163	86	112	198
160	85	114	199
155	92	113	205
161	96	112	208
166	105	112	217
156	111	111	222
143	114	102	216
124	121	93	214
124	122	93	215
121	124	93	217
117	125	93	218
120	124	94	218
126	126	94	220
129	124	96	220
130	125	95	220
139	123	97	220
149	125	96	221
150	127	96	223
151	130	97	227
154	134	97	231
166	141	94	235
165	138	93	231
158	142	93	235
162	139	92	231
176	137	92	229
178	137	92	229
181	137	92	229
195	132	95	227
193	128	99	227
195	126	101	227
191	130	101	231
195	136	100	236
196	139	98	237
192	135	105	240
219	137	106	243
246	136	110	246
247	136	110	246
250	135	112	247
191	134	100	234
188	133	102	235
189	136	104	240
188	141	105	246
178	146	106	252
194	150	107	257
182	162	106	268
189	169	106	275
219	174	110	284
286	175	117	292
270	178	116	294
253	183	115	298
242	188	116	304
284	185	122	307
291	187	122	309
329	186	128	314
356	182	132	314
408	184	137	321
432	184	136	320
437	182	139	321
430	184	139	323
355	205	134	339
334	232	138	370
292	284	135	419
308	319	135	454
436	342	138	480
525	348	140	488
525	352	140	492
518	357	143	500
557	359	150	509
566	354	154	508
588	353	162	515
595	349	166	515
598	330	183	513
595	320	188	508
653	307	195	502
674	302	194	496
746	295	199	494
756	294	200	494
741	287	202	489
644	298	195	493
593	326	195	521
674	367	192	559
674	398	189	587
698	423	191	614
675	447	187	634
719	470	181	651
747	488	182	670
787	504	183	687
815	522	185	707
831	526	187	713
903	546	186	732
906	553	186	739
912	553	194	747
898	550	202	752
918	554	217	771
938	551	223	774
952	553	234	787
976	566	239	805
1093	608	246	854
1088	673	247	920
664	712	217	929
545	740	199	939
497	753	203	956
448	771	207	978
476	778	214	992
489	780	216	996
521	762	228	990
523	742	234	976
507	706	244	950
511	682	262	944
527	667	274	941
494	669	284	953
491	658	287	945
480	656	298	954
632	655	305	960
770	644	315	959
812	641	319	960
737	651	316	967
544	667	289	956
486	686	287	973
448	687	290	977
424	685	287	972
460	680	282	962
485	664	280	944
513	637	284	921
574	616	287	903
601	599	294	893
648	576	301	877
686	556	303	859
666	534	304	838
654	518	309	827
635	518	312	830
615	525	320	845
607	535	333	868
596	551	342	893
649	553	348	901
707	550	351	901
761	546	360	906
798	539	363	902
807	531	361	892
818	531	363	894
809	515	363	878
831	506	362	868
831	496	361	857
830	491	359	850
863	495	359	854
848	502	354	856
807	520	354	874
765	537	346	883
750	564	336	900
766	575	335	910
798	588	328	916
831	584	329	913
859	579	328	907
872	582	320	902
896	571	323	894
641	560	284	844
536	548	244	792
461	532	220	752
451	523	220	743
435	515	218	733
430	511	215	726
414	503	216	719
390	497	214	711
371	492	213	705
356	479	218	697
352	466	220	686
357	460	224	684
351	452	228	680
358	450	233	683
340	444	230	674
328	430	234	664
322	421	231	652
330	409	232	641
314	401	231	632
309	398	229	627
301	396	230	626
281	390	224	614
263	393	223	616
243	400	222	622
219	413	224	637
238	412	222	634
256	415	222	637
261	411	228	639
264	417	226	643
265	408	226	634
252	405	227	632
248	400	231	631
251	392	239	631
239	385	238	623
227	380	236	616
219	376	237	613
208	365	242	607
207	368	243	611
213	362	247	609
217	363	244	607
210	358	251	609
158	346	232	578
126	341	212	553
121	334	210	544
116	330	207	537
105	329	204	533
94	328	200	528
89	329	197	526
84	322	196	518
69	321	201	522
59	310	206	516
54	305	207	512
52	298	207	505
48	298	209	507
